Sample	Title	Tissue	Ecotype	Genotype	Treatment	Project	TotalReads	UniqelyMappedRate	Unnamed: 9
ERX1366475	E-MTAB-4508:Col-0_T2	leaves	Col-0	--	--	PRJEB12877	18678371	0.9025	
ERX1409523	Sample 25	seedlings	Col-0	Col-0 WT pX6-3xHA-AGO1	--	PRJEB13163	20867735	0.907	
ERX1409525	Sample 27	seedlings	Col-0	ago1-3 pX6-3xHA-AGO1	--	PRJEB13163	22587946	0.9033	
ERX1409527	Sample 29	seedlings	Col-0	ago1-3 FLAG-AGO1WT pX6-3xHA-AGO1	--	PRJEB13163	20838064	0.8853	
ERX1409530	Sample 31	seedlings	Col-0	ago1-3 FLAG-AGO1H988F pX6-3xHA-AGO1	--	PRJEB13163	24606169	0.9034	
ERX1409532	Sample 33	seedlings	Col-0	ago1-3 FLAG-AGO1E803A pX6-3xHA-AGO1	--	PRJEB13163	24724056	0.8808	
ERX1409534	Sample 35	seedlings	Col-0	ago1-3 FLAG-AGO1D762A pX6-3xHA-AGO1	--	PRJEB13163	21418570	0.9031	
ERX1409543	Sample 43	seedlings	Col-0	ago1-3 FLAG-AGO1D762A	--	PRJEB13163	12811922	0.8905	
ERX1517446	Sample 10	rosette leaf	Col-0	atphb3 ANAC017	--	PRJEB14313	19766568	0.7904	
ERX1517449	Sample 13	rosette leaf	Col-0	atphb3 anac017	--	PRJEB14313	18664155	0.8	
ERX1517452	Sample 2	rosette leaf	Col-0	wild type	--	PRJEB14313	20844176	0.737	
ERX1517454	Sample 4	rosette leaf	Col-0	rpotmp ANAC017	--	PRJEB14313	19662882	0.792	
ERX1517457	Sample 7	rosette leaf	Col-0	rpotmp anac017	--	PRJEB14313	24121194	0.8031	
ERX1648936	E-MTAB-5001:grxs17-1_R1	seedlings	Col-0	--	--	PRJEB15107	43905385	0.8775	
ERX1936694	Wild-type Col-0 rep1	inflorescence	Col-0	wild type	Mock	PRJEB19862	18264705	0.9467	
ERX1936697	Wild-type Col-0 +IAA rep1	inflorescence	Col-0	wild type +IAA	IAA	PRJEB19862	18455774	0.9456	
ERX1936700	ETT rep1	inflorescence	Col-0	ETT	--	PRJEB19862	16890053	0.9329	
ERX1936703	ETT +IAA rep1	inflorescence	Col-0	ETT + IAA	--	PRJEB19862	17080886	0.9125	
ERX2055373	E-MTAB-5788:Sample 1	inflorescence	Col-0	wild type	--	PRJEB21133	12837684	0.8039	
ERX2055375	E-MTAB-5788:Sample 3	inflorescence	Col-0	hws-1 mutant	--	PRJEB21133	13640037	0.8098	
ERX2055377	E-MTAB-5788:Sample 5	inflorescence	Col-0	hws-3 mutant	--	PRJEB21133	13325015	0.7752	
ERX2055381	E-MTAB-5788:Sample 9	inflorescence	Col-0	35S:HWS overexpressor	--	PRJEB21133	12002479	0.7185	
ERX2244582	E-MTAB-6170:Sample 1	siliques	Col-0	wild type	--	PRJEB23283	43184671	0.9205	
ERX2244584	E-MTAB-6170:Sample 3	siliques	Col-0	AtBUD13 heterozygous knockout	--	PRJEB23283	43414066	0.9181	
ERX2405537	RNA-seq-Col-0-R1	seedlings	Col-0	wild type	--	PRJEB8944	11796446	0.8456	
ERX2405540	RNA-seq-trb1-R1	seedlings	Col-0	trb1-1	--	PRJEB8944	12429210	0.8547	
ERX2405543	RNA-seq-trb3-R1	seedlings	Col-0	trb3-1	--	PRJEB8944	9683529	0.8479	
ERX2405547	RNA-seq-trb1-trb3-R2	seedlings	Col-0	trb1-1 trb3-1	--	PRJEB8944	11653420	0.8478	
ERX2405550	RNA-seq-lhp1-R2	seedlings	Col-0	lhp1-3	--	PRJEB8944	10388935	0.8612	
ERX2405552	RNA-seq-trb1-lhp1-R1	seedlings	Col-0	trb1-1 lhp1-3	--	PRJEB8944	10435579	0.7395	
ERX2405556	RNA-seq-trb3-lhp1-R2	seedlings	Col-0	trb3-1 lhp1-3	--	PRJEB8944	12208166	0.7674	
ERX2405558	RNA-seq-trb1-trb3-lhp1-R1	seedlings	Col-0	trb1-1 trb3-1 lhp1-3	--	PRJEB8944	13697330	0.78	
ERX350053	At35S_RPL18_1	leaves	Col-0	CaMV35S:FLAG::RPL18	--	PRJEB5030	33836528	0.8031	
ERX350056	AtGDC_RPL18_1	leaves	Col-0	FtGDC::FLAG::RPL18	--	PRJEB5030	36977196	0.7597	
ERX534171	th_C_Rt	root	Col-0	--	Mock	PRJEB6701	10820919	0.9366	
ERX534172	th_C_St	shoot	Col-0	--	Mock	PRJEB6701	13626140	0.9056	
ERX534173	th_T_Rt	root	Col-0	--	cold	PRJEB6701	8356957	0.9202	
ERX534174	th_T_St	shoot	Col-0	--	cold	PRJEB6701	10251950	0.9251	
ERX570530	rtel1_3	root tip	Col-0	rtel1-1	--	PRJEB7299	8112416	0.8685	
ERX570532	Col_0_2	root tip	Col-0	wild type	--	PRJEB7299	7023947	0.8537	
ERX940520	mRNA.APO_1	seedlings	Col-0	--	APO	PRJEB8886	11728035	0.8902	
ERX940524	mRNA.TSA_1	seedlings	Col-0	--	TSA	PRJEB8886	12177042	0.8928	
ERX940528	mRNA.SAHA_1	seedlings	Col-0	--	SAHA	PRJEB8886	11015406	0.8934	
ERX940532	mRNA.CONTROL_1	seedlings	Col-0	--	Mock	PRJEB8886	7561528	0.8966	
ERX981475	Col-0_biological_replicate_1	whole plant	Col-0	wild type	--	PRJEB9470	12251921	0.9397	
GSM1023753	Col 1	seedlings	Col-0	Wild type	--	PRJNA178143	19314684	0.8282	
GSM1023755	IBH1-Ox 1	seedlings	Col-0	35S	--	PRJNA178143	19520198	0.8227	
GSM1023757	PRE1-Ox/IBH1-Ox 1	seedlings	Col-0	35S	--	PRJNA178143	12016738	0.8981	
GSM1025549	mos2-2 rep1	seedlings	Col-0	mos2-2	--	PRJNA178309	8184112	0.7535	
GSM1054087	Col WT seedling treated with rapamycin_rep1	seedlings	Col-0	wild type	10 Âµg/ml rapamycin	PRJNA183972	14555046	0.9152	
GSM1054090	BP12-2 seedling treated with rapamycin_rep1	seedlings	Col-0	BP12-2	10 Âµg/ml rapamycin	PRJNA183972	17202520	0.9154	
GSM1072464	LL, WT rep 1	seedlings	Col-0	Wild type	--	PRJNA188075	14103699	0.9076	
GSM1072467	LL, rep 1	seedlings	Col-0	link1link2 double mutants	--	PRJNA188075	18297931	0.908	
GSM1072470	Long days WT, ZT2, rep 1	seedlings	Col-0	Wild type	photoperiod ZT2 VS ZT22	PRJNA188075	10641335	0.9106	
GSM1072473	Long days WT, ZT6, rep 1	seedlings	Col-0	Wild type	photoperiod ZT6 VS ZT22	PRJNA188075	12254194	0.8983	
GSM1072476	Long days WT, ZT10, rep 1	seedlings	Col-0	Wild type	photoperiod ZT10 VS ZT22	PRJNA188075	11164888	0.9151	
GSM1072479	Long days WT, ZT14, rep 1	seedlings	Col-0	Wild type	photoperiod ZT14 VS ZT22	PRJNA188075	10111496	0.9042	
GSM1072482	Long days WT, ZT18, rep 1	seedlings	Col-0	Wild type	photoperiod ZT18 VS ZT22	PRJNA188075	10962505	0.9129	
GSM1072485	Long days WT, ZT22, rep 1	seedlings	Col-0	Wild type	Mock	PRJNA188075	13408078	0.7913	
GSM1072488	Long days LL, ZT2, rep 1	seedlings	Col-0	link1link2 double mutants	--	PRJNA188075	13364290	0.7907	
GSM1072491	Long days LL, ZT6, rep 1	seedlings	Col-0	link1link2 double mutants	--	PRJNA188075	10202158	0.9083	
GSM1072494	Long days LL, ZT10, rep 1	seedlings	Col-0	link1link2 double mutants	--	PRJNA188075	10807757	0.7837	
GSM1072497	Long days LL, ZT14, rep 1	seedlings	Col-0	link1link2 double mutants	--	PRJNA188075	9176985	0.7745	
GSM1072500	Long days LL, ZT18, rep 1	seedlings	Col-0	link1link2 double mutants	--	PRJNA188075	9688046	0.7835	
GSM1072503	Long days LL, ZT22, rep 1	seedlings	Col-0	link1link2 double mutants	--	PRJNA188075	10177235	0.8866	
GSM1173202	ATH1_WS_water_rep1	rosette leaf	Col-0	WS	Mock	PRJNA209324	24832092	0.823	
GSM1173204	ATH1_WS_S1_rep1	rosette leaf	Col-0	WS	Hirst dehydration	PRJNA209324	36614842	0.8619	
GSM1173206	ATH1_WS_S3_rep1	rosette leaf	Col-0	WS	third dehydration	PRJNA209324	37706035	0.8577	
GSM1239079	IBH1 overexpression #1	seedlings	Col-0	IBH1OE/IBH1OE	--	PRJNA221230	14964452	0.7046	
GSM1239081	ibh1 mutant #1	seedlings	Col-0	ibh1-/ibh1-	--	PRJNA221230	13653860	0.7167	
GSM1239083	IBL1 overexpression #1	seedlings	Col-0	IBL1OE/IBL1OE	--	PRJNA221230	22545406	0.7524	
GSM1239085	ibl1 mutant #1	seedlings	Col-0	ibl1-/ibl1-	--	PRJNA221230	13767983	0.7224	
GSM1239087	Col #1	seedlings	Col-0	+/+	--	PRJNA221230	8489456	0.7493	
GSM1242374	WT_mRNA_rep1	leaves	Col-0	wild type	--	PRJNA222364	7146639	0.8139	
GSM1242376	drm12_mRNA_rep1	leaves	Col-0	drm12	--	PRJNA222364	8319417	0.8177	
GSM1242378	cmt2_mRNA_rep1	leaves	Col-0	cmt2	--	PRJNA222364	9230738	0.8177	
GSM1242380	cmt3_mRNA_rep1	leaves	Col-0	cmt3	--	PRJNA222364	7841996	0.8211	
GSM1242382	cmt23_mRNA_rep1	leaves	Col-0	cmt23	--	PRJNA222364	8024600	0.8209	
GSM1242384	drm12cmt2_mRNA_rep1	leaves	Col-0	drm12cmt2	--	PRJNA222364	10944845	0.8161	
GSM1242386	drm12cmt3_mRNA_rep1	leaves	Col-0	drm12cmt3	--	PRJNA222364	9207622	0.8208	
GSM1242388	drm12cmt23_mRNA_rep1	leaves	Col-0	drm12cmt23	--	PRJNA222364	10886072	0.835	
GSM1242390	suvh456_mRNA_rep1	leaves	Col-0	suvh456	--	PRJNA222364	6623618	0.8102	
GSM1252262	Col-0 RNA-Seq rep 1	seedlings	Col-0	wild type	Mock	PRJNA225010	23449026	0.8435	
GSM1252264	Col-0 + BR RNA-Seq replicate 1	seedlings	Col-0	--	BR	PRJNA225010	25438492	0.8505	
GSM1252266	iaa3 RNA-Seq replicate 1	seedlings	Col-0	--	--	PRJNA225010	25755168	0.8475	
GSM1252268	iaa3 + BR RNA-Seq replicate 1	seedlings	Col-0	--	--	PRJNA225010	20276617	0.8441	
GSM1279534	Col mock rep1	root	Col-0	wild type	Mock	PRJNA230565	26836208	0.8626	
GSM1279536	Col BL 4hr rep1	root	Col-0	wild type	BL 4h	PRJNA230565	25153807	0.8614	
GSM1279538	Col IAA 4hr rep1	root	Col-0	wild type	IAA 4h	PRJNA230565	40845455	0.8665	
GSM1279540	Col IAA+BL 4hr rep1	root	Col-0	wild type	IAA+BL 4h	PRJNA230565	24227829	0.8654	
GSM1279542	bri1-116 rep1	root	Col-0	bri1-116 mutant	untreated	PRJNA230565	28906759	0.8732	
GSM1279544	bri1-116;bzr1-1D rep1	root	Col-0	bri1-116;bzr1-1D mutant	untreated	PRJNA230565	14910550	0.8693	
GSM1279546	WT rep1	root	Col-0	wild type	untreated	PRJNA230565	14172032	0.8156	
GSM1279548	dwf4 rep1	root	Col-0	dwf4 mutant	untreated	PRJNA230565	13765385	0.8179	
GSM1279550	dwf4 BL 4hr rep1	root	Col-0	dwf4 mutant	100 nM BL, 4 hr	PRJNA230565	14101718	0.8182	
GSM1297710	Emoy2_1ddpi_biorep1_lane2_lib1	aerial shoots	Col-0	Wild type	Emoy2_1ddpi	PRJNA232536	1204424	0.7047	
GSM1297712	Emoy2_1ddpi_biorep1_lane3_lib1	aerial shoots	Col-0	Wild type	Emoy2_1ddpi	PRJNA232536	2274206	0.7565	
GSM1297714	Emoy2_1ddpi_biorep1_lane4_lib1	aerial shoots	Col-0	Wild type	Emoy2_1ddpi	PRJNA232536	2346977	0.7638	
GSM1297716	Emoy2_1ddpi_biorep2_lane1_lib1	aerial shoots	Col-0	Wild type	Emoy2_1ddpi	PRJNA232536	1154389	0.705	
GSM1297718	Emoy2_1ddpi_biorep2_lane2_lib1	aerial shoots	Col-0	Wild type	Emoy2_1ddpi	PRJNA232536	1325436	0.73	
GSM1297720	Emoy2_1ddpi_biorep2_lane3_lib1	aerial shoots	Col-0	Wild type	Emoy2_1ddpi	PRJNA232536	2598412	0.7761	
GSM1297722	Emoy2_1ddpi_biorep2_lane4_lib1	aerial shoots	Col-0	Wild type	Emoy2_1ddpi	PRJNA232536	2544105	0.7816	
GSM1297726	Emoy2_1ddpi_biorep3_lane2_lib1	aerial shoots	Col-0	Wild type	Emoy2_1ddpi	PRJNA232536	1704110	0.7435	
GSM1297728	Emoy2_1ddpi_biorep3_lane3_lib1	aerial shoots	Col-0	Wild type	Emoy2_1ddpi	PRJNA232536	2672364	0.8095	
GSM1297730	Emoy2_1ddpi_biorep3_lane4_lib1	aerial shoots	Col-0	Wild type	Emoy2_1ddpi	PRJNA232536	2636775	0.8248	
GSM1297734	Emoy2_3ddpi_biorep1_lane2_lib1	aerial shoots	Col-0	Wild type	Emoy2_3ddpi	PRJNA232536	1050147	0.7424	
GSM1297736	Emoy2_3ddpi_biorep1_lane3_lib1	aerial shoots	Col-0	Wild type	Emoy2_3ddpi	PRJNA232536	1942269	0.7939	
GSM1297738	Emoy2_3ddpi_biorep1_lane4_lib1	aerial shoots	Col-0	Wild type	Emoy2_3ddpi	PRJNA232536	1993380	0.8016	
GSM1297740	Emoy2_3ddpi_biorep2_lane1_lib1	aerial shoots	Col-0	Wild type	Emoy2_3ddpi	PRJNA232536	1122877	0.7249	
GSM1297742	Emoy2_3ddpi_biorep2_lane2_lib1	aerial shoots	Col-0	Wild type	Emoy2_3ddpi	PRJNA232536	1288318	0.7497	
GSM1297744	Emoy2_3ddpi_biorep2_lane3_lib1	aerial shoots	Col-0	Wild type	Emoy2_3ddpi	PRJNA232536	2469159	0.7992	
GSM1297746	Emoy2_3ddpi_biorep2_lane4_lib1	aerial shoots	Col-0	Wild type	Emoy2_3ddpi	PRJNA232536	2422658	0.8056	
GSM1297750	Emoy2_3ddpi_biorep3_lane2_lib1	aerial shoots	Col-0	Wild type	Emoy2_3ddpi	PRJNA232536	1243939	0.7479	
GSM1297752	Emoy2_3ddpi_biorep3_lane3_lib1	aerial shoots	Col-0	Wild type	Emoy2_3ddpi	PRJNA232536	1923284	0.818	
GSM1297754	Emoy2_3ddpi_biorep3_lane4_lib1	aerial shoots	Col-0	Wild type	Emoy2_3ddpi	PRJNA232536	1900538	0.8327	
GSM1297758	Emoy2_5ddpi_biorep1_lane2_lib1	aerial shoots	Col-0	Wild type	Emoy2_5ddpi	PRJNA232536	803708	0.7572	
GSM1297760	Emoy2_5ddpi_biorep1_lane3_lib1	aerial shoots	Col-0	Wild type	Emoy2_5ddpi	PRJNA232536	1477097	0.822	
GSM1297762	Emoy2_5ddpi_biorep1_lane4_lib1	aerial shoots	Col-0	Wild type	Emoy2_5ddpi	PRJNA232536	1525705	0.8274	
GSM1297764	Emoy2_5ddpi_biorep2_lane1_lib1	aerial shoots	Col-0	Wild type	Emoy2_5ddpi	PRJNA232536	935797	0.7193	
GSM1297766	Emoy2_5ddpi_biorep2_lane2_lib1	aerial shoots	Col-0	Wild type	Emoy2_5ddpi	PRJNA232536	1073170	0.7442	
GSM1297768	Emoy2_5ddpi_biorep2_lane3_lib1	aerial shoots	Col-0	Wild type	Emoy2_5ddpi	PRJNA232536	1978821	0.8016	
GSM1297770	Emoy2_5ddpi_biorep2_lane4_lib1	aerial shoots	Col-0	Wild type	Emoy2_5ddpi	PRJNA232536	1944211	0.8082	
GSM1297774	Emoy2_5ddpi_biorep3_lane2_lib1	aerial shoots	Col-0	Wild type	Emoy2_5ddpi	PRJNA232536	1174471	0.7356	
GSM1297776	Emoy2_5ddpi_biorep3_lane3_lib1	aerial shoots	Col-0	Wild type	Emoy2_5ddpi	PRJNA232536	1769035	0.8105	
GSM1297778	Emoy2_5ddpi_biorep3_lane4_lib1	aerial shoots	Col-0	Wild type	Emoy2_5ddpi	PRJNA232536	1752067	0.8247	
GSM1297840	Waco9_1ddpi_biorep1_lane1_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	702354	0.7288	
GSM1297842	Waco9_1ddpi_biorep1_lane2_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	1293317	0.7429	
GSM1297844	Waco9_1ddpi_biorep1_lane3_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	2440684	0.7945	
GSM1297846	Waco9_1ddpi_biorep1_lane4_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	2510333	0.8033	
GSM1297848	Waco9_1ddpi_biorep2_lane1_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	1112794	0.7247	
GSM1297850	Waco9_1ddpi_biorep2_lane2_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	1288754	0.7483	
GSM1297852	Waco9_1ddpi_biorep2_lane3_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	2653382	0.7901	
GSM1297854	Waco9_1ddpi_biorep2_lane4_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	2589515	0.7958	
GSM1297858	Waco9_1ddpi_biorep3_lane2_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	1167985	0.7398	
GSM1297860	Waco9_1ddpi_biorep3_lane3_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	1827865	0.8123	
GSM1297862	Waco9_1ddpi_biorep3_lane4_lib1	aerial shoots	Col-0	Wild type	Waco9_1ddpi	PRJNA232536	1806415	0.8258	
GSM1298726	FB1	flower bud	Col-0	wild type	--	PRJNA232621	32033455	0.9544	
GSM1298730	L1	leaves	Col-0	wild type	--	PRJNA232621	33238261	0.9432	
GSM1308344	hua2 seedling, biological replicate 1	seedlings	Col-0	HUA2 T-DNA insertion	--	PRJNA235219	3862882	0.7139	
GSM1347943	pad4 rep1	leaves	Col-0	pad4-1	--	PRJNA241198	56001431	0.786	
GSM1347946	smg7 pad4 rep 1	leaves	Col-0	smg7-1 pad4-1	--	PRJNA241198	52740566	0.7899	
GSM1359146	WT 1	carpels	Col-0	--	--	PRJNA242915	42903956	0.9009	
GSM1359148	nga 1	carpels	Col-0	--	--	PRJNA242915	36624301	0.8946	
GSM1359151	35S:NGA 1	carpels	Col-0	--	--	PRJNA242915	27432608	0.9005	
GSM1369669	Col-0_1	leaves	Col-0	wild type	--	PRJNA244662	12175998	0.9456	
GSM1369671	co-sail_1	leaves	Col-0	co-SAIL	--	PRJNA244662	13767089	0.9372	
GSM1369673	miP1a_1	leaves	Col-0	35S	--	PRJNA244662	12088309	0.9353	
GSM1369675	miP1b_1	leaves	Col-0	35S	--	PRJNA244662	14907827	0.939	
GSM1371353	infected Col0 10 days rep 1	leaves	Col-0	wild type	inHected CaLCuV 10dpi	PRJNA244971	8486860	0.7901	
GSM1371357	infected NIK 10 days rep 1	leaves	Col-0	NIK	--	PRJNA244971	9219925	0.8483	
GSM1371361	infected T474D 10 days rep 1	leaves	Col-0	T474D	--	PRJNA244971	7155037	0.8835	
GSM1371363	mock Col0 20 days rep 1	leaves	Col-0	wild type	Mock	PRJNA244971	6809675	0.779	
GSM1371365	infected Col0 20 days rep 1	leaves	Col-0	wild type	inHected CaLCuV 20dpi	PRJNA244971	8175197	0.7843	
GSM1371369	infected T474D 20 days rep 1	leaves	Col-0	T474D	--	PRJNA244971	8979336	0.7759	
GSM1377364	dcl 234 nrpd1 PolyA+ RNAseq rep1	flower bud	Col-0	dcl 234 nrpd1	--	PRJNA245920	8537942	0.8734	
GSM1390693	WT rep1	seedlings	Col-0	cR-grown WT	--	PRJNA248132	24919619	0.7452	
GSM1390696	hid1 rep1	seedlings	Col-0	hid1(hidden treasure 1)	--	PRJNA248132	21480371	0.7626	
GSM1398473	WT 6h rep1	seedlings	Col-0	wild type	Incubated in 10 uM beta-estradiol Hor 6h	PRJNA248481	23405674	0.8783	
GSM1398475	WT 8h rep1	seedlings	Col-0	wild type	Incubated in 10 uM beta-estradiol Hor 8h	PRJNA248481	20681996	0.8852	
GSM1398477	iSPCH 0h rep1	seedlings	Col-0	ESTpro	Not treated	PRJNA248481	26028230	0.8696	
GSM1398479	iSPCH 6h rep1	seedlings	Col-0	ESTpro	Incubated in 10 uM beta-estradiol Hor 6h	PRJNA248481	29175174	0.8822	
GSM1398481	iSPCH 8h rep1	seedlings	Col-0	ESTpro	Incubated in 10 uM beta-estradiol Hor 8h	PRJNA248481	21194280	0.8747	
GSM1413819	WT-D rep1	seedlings	Col-0	wild type	dark	PRJNA252931	21050000	0.8891	
GSM1413821	WT-BL rep1	seedlings	Col-0	wild type	Mock	PRJNA252931	24982296	0.8882	
GSM1413823	cry1 cry2-BL rep1	seedlings	Col-0	cry1 cry2 double mutant	--	PRJNA252931	24680000	0.8958	
GSM1413825	tir1 afb123-D rep1	seedlings	Col-0	tir1 afb1 afb2 afb3 quadruple mutant	--	PRJNA252931	24087478	0.8857	
GSM1429679	Col-0 replicate1	root tip	Col-0	wild type	--	PRJNA254520	28783932	0.7906	
GSM1429682	coryne-3 replicate 1	root tip	Col-0	coryne-3	--	PRJNA254520	29183204	0.7926	
GSM1429684	clavata2-gabi replicate 1	root tip	Col-0	clavata2-gabi	--	PRJNA254520	34716067	0.832	
GSM1429688	cle40-2 replicate 1	root tip	Col-0	cle40-2	--	PRJNA254520	41607709	0.8042	
GSM1441335	stk1	inflorescences and siliques	Col-0	stk-/-	--	PRJNA255799	38599741	0.8257	
GSM1443113	col_1h_lbl replicate 1	seedlings	Col-0	wild type	low blue-light 1h	PRJNA255977	47753357	0.761	
GSM1443115	col_1h_wl replicate 1	seedlings	Col-0	wild type	Mock	PRJNA255977	35960759	0.7613	
