Sample,Title,Tissue,Ecotype,Genotype,Treatment,Project,TotalReads,UniqelyMappedRate,
DRX016648,WT grown for Dark 0h.,whole plant,Col-0,wild type,--,PRJDB2760,137575869,0.6027,
DRX016649,WT grown for Dark 3h.,whole plant,Col-0,wild type,--,PRJDB2760,116975801,0.5879,
DRX016650,WT grown for Red 1h.,whole plant,Col-0,wild type,--,PRJDB2760,192531285,0.7487,
DRX016651,WT grown for Red 3h.,whole plant,Col-0,wild type,--,PRJDB2760,153874697,0.6363,
DRX016652,PhyAB grown for Red 1h.,whole plant,Col-0,phyAB,--,PRJDB2760,118071016,0.6074,
DRX016653,PhyAB grown for Red 3h.,whole plant,Col-0,phyAB,--,PRJDB2760,165057458,0.6576,
DRX016654,PhyAB grown for Dark 0h.,whole plant,Col-0,phyAB,--,PRJDB2760,118044276,0.5851,
DRX019488,Arabidopsis WT-Col RNA Seq 1,seedlings,Col-0,wild type,--,PRJDB2938,91211162,0.9335,
DRX019489,Arabidopsis ibm2 RNA Seq 1,seedlings,Col-0,ibm2-2,--,PRJDB2938,71727119,0.921,
DRX026439,WT,whole plant,Col-0,wild type,--,PRJDB3468,10849453,0.9219,
DRX026440,cca1 lhy,whole plant,Col-0,cca1 lhy double mutants,--,PRJDB3468,11543529,0.909,
DRX029882,WT_1,whole plant,Col-0,--,--,PRJDB3468,3927300,0.8899,
DRX029883,WT_2,whole plant,Col-0,--,--,PRJDB3468,4188188,0.89,
DRX029884,cl_1,whole plant,--,cca1 lhy double mutant,--,PRJDB3468,4269921,0.8762,
DRX029885,cl_2,whole plant,--,cca1 lhy double mutant,--,PRJDB3468,3772279,0.8751,
DRX039919,ZeroHAP,ovule,Col-0,wild type,--,PRJDB4155,7004011,0.9124,
DRX039920,NPT_12HAP,ovule,Col-0,NPT,--,PRJDB4155,6766441,0.8972,
DRX039921,NPT_24HAP,ovule,Col-0,NPT,--,PRJDB4155,6384368,0.8953,
DRX039922,NPT_48HAP,ovule,Col-0,NPT,--,PRJDB4155,6096323,0.894,
DRX039923,WT_12HAP,ovule,Col-0,wild type,--,PRJDB4155,7265508,0.9005,
DRX039924,WT_24HAP,ovule,Col-0,wild type,--,PRJDB4155,7897368,0.9182,
DRX039925,WT_48HAP,ovule,Col-0,wild type,--,PRJDB4155,7170355,0.9162,
DRX039926,gcs1_12HAP,ovule,Col-0,gcs1,--,PRJDB4155,7298052,0.8976,
DRX039927,gcs1_24HAP,ovule,Col-0,gcs1,--,PRJDB4155,6655329,0.8986,
DRX039928,gcs1_48HAP,ovule,Col-0,gcs1,--,PRJDB4155,8174475,0.9182,
DRX064451,Ctrl_1,root,Col-0,--,Mock,PRJDB5141,20137756,0.9228,
DRX064452,N_1,root,Col-0,--,#NAME?,PRJDB5141,19725062,0.9308,
DRX064453,K_1,root,Col-0,--,#NAME?,PRJDB5141,19143287,0.929,
DRX064454,Ca_1,root,Col-0,--,#NAME?,PRJDB5141,22171345,0.9495,
DRX064455,Mg_1,root,Col-0,--,#NAME?,PRJDB5141,21279018,0.9262,
DRX064456,P_1,root,Col-0,--,#NAME?,PRJDB5141,19683272,0.9303,
DRX064457,S_1,root,Col-0,--,#NAME?,PRJDB5141,21640246,0.9144,
DRX064458,B_1,root,Col-0,--,#NAME?,PRJDB5141,21225643,0.9302,
DRX064459,Fe_1,root,Col-0,--,#NAME?,PRJDB5141,19547010,0.9215,
DRX064460,Mn_1,root,Col-0,--,#NAME?,PRJDB5141,23638602,0.92,
DRX064461,Zn_1,root,Col-0,--,#NAME?,PRJDB5141,19507942,0.9306,
DRX064462,Cu_1,root,Col-0,--,#NAME?,PRJDB5141,18186495,0.9255,
DRX064463,Mo_1,root,Col-0,--,#NAME?,PRJDB5141,20974220,0.9185,
DRX064464,Ctrl_2,root,Col-0,--,Mock,PRJDB5141,26490574,0.9505,
DRX064465,N_2,root,Col-0,--,#NAME?,PRJDB5141,20269190,0.9513,
DRX064466,K_2,root,Col-0,--,#NAME?,PRJDB5141,22799077,0.9489,
DRX064467,Ca_2,root,Col-0,--,#NAME?,PRJDB5141,19773879,0.9522,
DRX064468,Mg_2,root,Col-0,--,#NAME?,PRJDB5141,22484707,0.9463,
DRX064469,P_2,root,Col-0,--,#NAME?,PRJDB5141,22376503,0.9548,
DRX064470,S_2,root,Col-0,--,#NAME?,PRJDB5141,22880541,0.9518,
DRX064471,B_2,root,Col-0,--,#NAME?,PRJDB5141,22832822,0.9515,
DRX064472,Fe_2,root,Col-0,--,#NAME?,PRJDB5141,20475949,0.949,
DRX064473,Mn_2,root,Col-0,--,#NAME?,PRJDB5141,20339797,0.9524,
DRX064474,Zn_2,root,Col-0,--,#NAME?,PRJDB5141,18740319,0.9481,
DRX064475,Cu_2,root,Col-0,--,#NAME?,PRJDB5141,21365746,0.9428,
DRX064476,Mo_2,root,Col-0,--,#NAME?,PRJDB5141,20090585,0.952,
DRX066823,WT_RNA_A1,--,Col-0,wild type,--,PRJDB5192,13876017,0.9293,
DRX066824,WT_RNA_A2,--,Col-0,wild type,--,PRJDB5192,14841169,0.917,
DRX066825,WT_RNA_A3,--,Col-0,wild type,--,PRJDB5192,13547152,0.9258,
DRX066826,ibm1_RNA_A1,--,Col-0,ibm1,--,PRJDB5192,14813397,0.9282,
DRX066827,ibm1_RNA_A2,--,Col-0,ibm1,--,PRJDB5192,13864607,0.829,
DRX066828,ibm1_RNA_A3,--,Col-0,ibm1,--,PRJDB5192,12255953,0.9245,
DRX066829,ibm1 ldl2_RNA_A1,--,Col-0,ibm1 ldl2,--,PRJDB5192,15036304,0.9206,
DRX066830,ibm1 ldl2_RNA_A2,--,Col-0,ibm1 ldl2,--,PRJDB5192,13340000,0.8624,
DRX066831,ibm1 ldl2_RNA_A3,--,Col-0,ibm1 ldl2,--,PRJDB5192,13949226,0.924,
DRX066832,WT_RNA_B1,--,Col-0,wild type,--,PRJDB5192,14026572,0.8632,
DRX066833,WT_RNA_B2,--,Col-0,wild type,--,PRJDB5192,16653593,0.849,
DRX066834,WT_RNA_B3,--,Col-0,wild type,--,PRJDB5192,15664386,0.8598,
DRX066835,ldl2_RNA_B1,--,Col-0,ldl2,--,PRJDB5192,14315521,0.8852,
DRX066836,ldl2_RNA_B2,--,Col-0,ldl2,--,PRJDB5192,15423278,0.8733,
DRX066837,ldl2_RNA_B3,--,Col-0,ldl2,--,PRJDB5192,15758402,0.8581,
DRX066838,suvh456_RNA_B1,--,Col-0,suvh456,--,PRJDB5192,17577240,0.8842,
DRX066839,suvh456_RNA_B2,--,Col-0,suvh456,--,PRJDB5192,16234653,0.854,
DRX066840,suvh456_RNA_B3,--,Col-0,suvh456,--,PRJDB5192,17372121,0.8521,
DRX078165,Arabidopsis thaliana WT_untreated_rep1,whole plant,Col-0,wild type,Mock,PRJDB5481,10811031,0.8891,
DRX078166,Arabidopsis thaliana WT_untreated_rep2,whole plant,Col-0,wild type,Mock,PRJDB5481,11414565,0.9355,
DRX078167,Arabidopsis thaliana WT_untreated_rep3,whole plant,Col-0,wild type,Mock,PRJDB5481,10692573,0.94,
DRX078168,Arabidopsis thaliana WT_LPStreated_rep1,whole plant,Col-0,wild type,LPS,PRJDB5481,10642849,0.9451,
DRX078169,Arabidopsis thaliana WT_LPStreated_rep2,whole plant,Col-0,wild type,LPS,PRJDB5481,9945969,0.9386,
DRX078170,Arabidopsis thaliana WT_LPStreated_rep3,whole plant,Col-0,wild type,LPS,PRJDB5481,9802590,0.9482,
DRX078171,Arabidopsis thaliana atlbr-2_untreated_rep1,whole plant,Col-0,atlbr-2,--,PRJDB5481,10930370,0.945,
DRX078172,Arabidopsis thaliana atlbr-2_untreated_rep2,whole plant,Col-0,atlbr-2,--,PRJDB5481,10568995,0.948,
DRX078173,Arabidopsis thaliana atlbr-2_untreated_rep3,whole plant,Col-0,atlbr-2,--,PRJDB5481,10887374,0.9403,
DRX078174,Arabidopsis thaliana atlbr-2_LPStreated_rep1,whole plant,Col-0,atlbr-2,--,PRJDB5481,12017778,0.9402,
DRX078175,Arabidopsis thaliana atlbr-2_LPStreated_rep2,whole plant,Col-0,atlbr-2,--,PRJDB5481,12552450,0.9455,
DRX078176,Arabidopsis thaliana atlbr-2_LPStreated_rep3,whole plant,Col-0,atlbr-2,--,PRJDB5481,11208054,0.9487,
DRX084079,WT_mock_replicate1,seedlings,Col-0,wild type,Mock,PRJDB5672,19551375,0.8544,
DRX084080,WT_mock_replicate2,seedlings,Col-0,wild type,Mock,PRJDB5672,20164518,0.8719,
DRX084081,WT_mock_replicate3,seedlings,Col-0,wild type,Mock,PRJDB5672,32884314,0.8023,
DRX084082,WT_IAA_replicate1,seedlings,Col-0,wild type,IAA,PRJDB5672,27997673,0.7994,
DRX084083,WT_IAA_replicate2,seedlings,Col-0,wild type,IAA,PRJDB5672,33243346,0.814,
DRX084084,WT_IAA_replicate3,seedlings,Col-0,wild type,IAA,PRJDB5672,30281274,0.8853,
DRX084085,WT_cvxIAA_replicate1,seedlings,Col-0,wild type,cvxIAA,PRJDB5672,25252507,0.8733,
DRX084086,WT_cvxIAA_replicate2,seedlings,Col-0,wild type,cvxIAA,PRJDB5672,23966726,0.8356,
DRX084087,WT_cvxIAA_replicate3,seedlings,Col-0,wild type,cvxIAA,PRJDB5672,18187145,0.9135,
DRX084088,35S-TIR1_mock_replicate1,seedlings,Col-0,35S-TIR1,--,PRJDB5672,18906280,0.9089,
DRX084089,35S-TIR1_mock_replicate2,seedlings,Col-0,35S-TIR1,--,PRJDB5672,20099675,0.9127,
DRX084090,35S-TIR1_mock_replicate3,seedlings,Col-0,35S-TIR1,--,PRJDB5672,17956613,0.9103,
DRX084091,35S-TIR1_IAA_replicate1,seedlings,Col-0,35S-TIR1,--,PRJDB5672,25783850,0.8192,
DRX084092,35S-TIR1_IAA_replicate2,seedlings,Col-0,35S-TIR1,--,PRJDB5672,16749688,0.8328,
DRX084093,35S-TIR1_IAA_replicate3,seedlings,Col-0,35S-TIR1,--,PRJDB5672,15722817,0.8397,
DRX084094,35S-TIR1_cvxIAA_replicate1,seedlings,Col-0,35S-TIR1,--,PRJDB5672,20266863,0.8222,
DRX084095,35S-TIR1_cvxIAA_replicate2,seedlings,Col-0,35S-TIR1,--,PRJDB5672,18619258,0.9119,
DRX084096,35S-TIR1_cvxIAA_replicate3,seedlings,Col-0,35S-TIR1,--,PRJDB5672,21936726,0.9153,
DRX084097,35S-ccvTIR1_mock_replicate1,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,20368375,0.9135,
DRX084098,35S-ccvTIR1_mock_replicate2,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,18989475,0.9138,
DRX084099,35S-ccvTIR1_mock_replicate3,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,20562106,0.9133,
DRX084100,35S-ccvTIR1_IAA_replicate1,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,23916293,0.9158,
DRX084101,35S-ccvTIR1_IAA_replicate2,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,20316123,0.9142,
DRX084102,35S-ccvTIR1_IAA_replicate3,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,19893291,0.9132,
DRX084103,35S-ccvTIR1_cvxIAA_replicate1,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,17035803,0.9019,
DRX084104,35S-ccvTIR1_cvxIAA_replicate2,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,20932307,0.9154,
DRX084105,35S-ccvTIR1_cvxIAA_replicate3,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,22948584,0.9188,
DRX084242,BL,seed,RIL,--,--,PRJDB5680,5327062,0.8654,
DRX084243,BS,seed,RIL,--,--,PRJDB5680,6383174,0.8763,
DRX084244,CN,seed,Col-0,--,--,PRJDB5680,5434030,0.8527,
DRX084245,CP,seed,Col-0,--,--,PRJDB5680,5447504,0.8627,
DRX084246,EN,seed,Est-1,--,--,PRJDB5680,6167959,0.8281,
DRX084247,EP,seed,Est-1,--,--,PRJDB5680,5378826,0.844,
DRX092371,RandomCap+day3_1,cultured  cell,T87,--,--,PRJDB5913,27147925,0.8922,
DRX092372,RandomCap+day3_2,cultured  cell,T87,--,--,PRJDB5913,27361314,0.8893,
DRX092373,Oligo-dTCap+day3_1,cultured  cell,T87,--,--,PRJDB5913,9624584,0.7546,
DRX092374,Oligo-dTCap+day3_2,cultured  cell,T87,--,--,PRJDB5913,9874852,0.7436,
DRX092375,RandomCap-day3_1,cultured  cell,T87,--,--,PRJDB5913,60296701,0.7835,
DRX092376,RandomCap-day3_2,cultured  cell,T87,--,--,PRJDB5913,78622559,0.7817,
DRX092377,Oligo-dTCap-day3_1,cultured  cell,T87,--,--,PRJDB5913,49371705,0.5891,
DRX092378,Oligo-dTCap-day3_2,cultured  cell,T87,--,--,PRJDB5913,30333564,0.5783,
DRX092687,BrU_0h-1,cultured  cell,T87,--,Mock,PRJDB6107,39921462,0.737,
DRX092688,BrU_0h-2,cultured  cell,T87,--,Mock,PRJDB6107,37695030,0.7363,
DRX092689,BrU_1h-1,cultured  cell,T87,--,BrU 1h,PRJDB6107,40181486,0.7816,
DRX092690,BrU_1h-2,cultured  cell,T87,--,BrU 1h,PRJDB6107,38758426,0.7275,
DRX092691,BrU_3h-1,cultured  cell,T87,--,BrU 3h,PRJDB6107,33632265,0.681,
DRX092692,BrU_3h-2,cultured  cell,T87,--,BrU 3h,PRJDB6107,39660283,0.6575,
DRX092693,BrU_6h-1,cultured  cell,T87,--,BrU 6h,PRJDB6107,45644542,0.7161,
DRX092694,BrU_6h-2,cultured  cell,T87,--,BrU 6h,PRJDB6107,44481526,0.7193,
DRX099517,Control_1,root,Col-0,wild type,Mock,PRJDB6370,3249209,0.9453,
DRX099518,Control_2,root,Col-0,wild type,Mock,PRJDB6370,3990947,0.9492,
DRX099519,Control_3,root,Col-0,wild type,Mock,PRJDB6370,3785596,0.949,
DRX099520,B-deprived_1,root,Col-0,--,azomethine (boron deprivation) 1h,PRJDB6370,3019484,0.9468,
DRX099521,B-deprived_2,root,Col-0,--,azomethine (boron deprivation) 1h,PRJDB6370,3590038,0.9524,
DRX099522,B-deprived_3,root,Col-0,--,azomethine (boron deprivation) 1h,PRJDB6370,4085254,0.9469,
DRX099523,Masked_1,root,Col-0,--,azomethine (boron deprivation) +  boric acid 1h,PRJDB6370,3382899,0.9526,
DRX099524,Masked_2,root,Col-0,--,azomethine (boron deprivation) +  boric acid 1h,PRJDB6370,3832505,0.9484,
DRX099525,Masked_3,root,Col-0,--,azomethine (boron deprivation) +  boric acid 1h,PRJDB6370,3718709,0.9484,
DRX111360,ag_sup_clv3_1,flower bud,Ler,ag-1 sup-1 clv3-2 triple mutant,--,PRJDB6530,9404763,0.6593,
DRX111361,ag_sup_clv3_2,flower bud,Ler,ag-1 sup-1 clv3-2 triple mutant,--,PRJDB6530,7008129,0.7006,
DRX111362,ag_sup_clv3_3,flower bud,Ler,ag-1 sup-1 clv3-2 triple mutant,--,PRJDB6530,12252968,0.769,
DRX111363,ag_sup_clv3_4,flower bud,Ler,ag-1 sup-1 clv3-2 triple mutant,--,PRJDB6530,6806409,0.6868,
DRX111364,sup_clv3_1,flower bud,Ler,sup-1 clv3-2 double mutant,--,PRJDB6530,4970885,0.6203,
DRX111365,sup_clv3_2,flower bud,Ler,sup-1 clv3-2 double mutant,--,PRJDB6530,9962703,0.6927,
DRX111366,sup_clv3_3,flower bud,Ler,sup-1 clv3-2 double mutant,--,PRJDB6530,8367641,0.6559,
DRX111367,sup_clv3_4,flower bud,Ler,sup-1 clv3-2 double mutant,--,PRJDB6530,8368341,0.6655,
ERX1041908,bZIP29_1,root tip,--,Pend:bZIP29-SRDX,--,PRJEB9909,20208805,0.8226,
ERX1041909,bZIP29_2,root tip,--,Pend:bZIP29-SRDX,--,PRJEB9909,22474737,0.8359,
ERX1041910,bZIP29_3,root tip,--,Pend:bZIP29-SRDX,--,PRJEB9909,21590602,0.6886,
ERX1041911,WT_1,root tip,--,wild type,--,PRJEB9909,20598406,0.8432,
ERX1041912,WT_2,root tip,--,wild type,--,PRJEB9909,25554515,0.7388,
ERX1041913,WT_3,root tip,--,wild type,--,PRJEB9909,22254757,0.8345,
ERX1043124,Col-0_mRNAseq_rep1,leaves,Col-0,wild type,--,PRJEB9919,10710447,0.9477,
ERX1043125,Col-0_mRNAseq_rep2,leaves,Col-0,wild type,--,PRJEB9919,7958548,0.948,
ERX1043126,Col-0_mRNAseq_rep3,leaves,Col-0,wild type,--,PRJEB9919,10905407,0.9417,
ERX1043128,met1-3_mRNAseq_rep2,leaves,Col-0,met1-3 mutant,--,PRJEB9919,14328071,0.9316,
ERX1043129,met1-3_mRNAseq_rep3,leaves,Col-0,met1-3 mutant,--,PRJEB9919,14684343,0.9356,
ERX1043130,Col-0xmet1-3_mRNAseq_rep1,leaves,Col-0,wild type x met1-3 mutant,--,PRJEB9919,8597602,0.9422,
ERX1043132,Col-0xmet1-3_mRNAseq_rep3,leaves,Col-0,wild type x met1-3 mutant,--,PRJEB9919,13141445,0.948,
ERX1043133,met1-3xCol-0_mRNAseq_rep1,leaves,Col-0,met1-3 mutant x wild type,--,PRJEB9919,7792900,0.9409,
ERX1043134,met1-3xCol-0_mRNAseq_rep2,leaves,Col-0,met1-3 mutant x wild type,--,PRJEB9919,7063795,0.9358,
ERX1043135,met1-3xCol-0_mRNAseq_rep3,leaves,Col-0,met1-3 mutant x wild type,--,PRJEB9919,13289455,0.9444,
ERX1104197,T11C1-1,leaves,Col-0,--,Mock,PRJEB10930,21412771,0.9302,
ERX1104198,T11C3-1,leaves,Col-0,--,Mock,PRJEB10930,17871983,0.9294,
ERX1104199,T11S1-1,leaves,Col-0,--,drought,PRJEB10930,16738977,0.9273,
ERX1104200,T11S2-1,leaves,Col-0,--,drought,PRJEB10930,17067335,0.9293,
ERX1104201,T13C1-1,leaves,Col-0,--,Mock,PRJEB10930,15217415,0.9048,
ERX1104202,T13C2-1,leaves,Col-0,--,Mock,PRJEB10930,14363291,0.9127,
ERX1104203,T13C3-1,leaves,Col-0,--,Mock,PRJEB10930,14347155,0.9134,
ERX1104204,T13S1-1,leaves,Col-0,--,drought,PRJEB10930,12616237,0.913,
ERX1104205,T13S2-1,leaves,Col-0,--,drought,PRJEB10930,13993624,0.9091,
ERX1104206,T13S3-1,leaves,Col-0,--,drought,PRJEB10930,14643623,0.9115,
ERX1104207,T15C1-1,leaves,Col-0,--,Mock,PRJEB10930,16418051,0.9375,
ERX1104208,T15C2-1,leaves,Col-0,--,Mock,PRJEB10930,19095513,0.9371,
ERX1104209,T15C3-1,leaves,Col-0,--,Mock,PRJEB10930,22330839,0.9342,
ERX1104210,T15S2-1,leaves,Col-0,--,drought,PRJEB10930,21239939,0.9348,
ERX1104211,T15S3-1,leaves,Col-0,--,drought,PRJEB10930,21453587,0.9309,
ERX1104212,T17C1-1,leaves,Col-0,--,Mock,PRJEB10930,14012259,0.9231,
ERX1104213,T17C2-1,leaves,Col-0,--,Mock,PRJEB10930,14445977,0.9243,
ERX1104214,T17C3-1,leaves,Col-0,--,Mock,PRJEB10930,12550375,0.9232,
ERX1104215,T17S1-1,leaves,Col-0,--,drought,PRJEB10930,17437502,0.9196,
ERX1104216,T17S2-1,leaves,Col-0,--,drought,PRJEB10930,14161921,0.9212,
ERX1104217,T17S3-1,leaves,Col-0,--,drought,PRJEB10930,14195439,0.9177,
ERX1104307,AXR1_DMSO_R1,cultured  cell,Ler,wild type,--,PRJEB10934,35119014,0.8232,
ERX1104308,AXR1_DMSO_R2,cultured  cell,Ler,wild type,--,PRJEB10934,45784879,0.826,
ERX1104309,AXR1_DMSO_R3,cultured  cell,Ler,wild type,--,PRJEB10934,45615768,0.7512,
ERX1104310,PICOT_WT_R1,seedlings,Col-0,wild type,--,PRJEB10937,40156250,0.8869,
ERX1104311,PICOT_WT_R2,seedlings,Col-0,wild type,--,PRJEB10937,58253298,0.7699,
ERX1104312,PICOT_WT_R3,seedlings,Col-0,wild type,--,PRJEB10937,38077224,0.6464,
ERX1188872,ample_PR2L_QLJ_4h,leaves,--,--,--,PRJEB11643,31400421,0.8213,
ERX1188873,Sample_PR2L_QLJ_4h_mock,leaves,--,--,--,PRJEB11643,31417228,0.7235,
ERX1268131,Sample 10_part 1,leaves,Col-0,sid2,--,PRJEB12204,17715306,0.8713,
ERX1268132,Sample 10_part 2,leaves,Col-0,sid2,--,PRJEB12204,18067279,0.8709,
ERX1268133,Sample 10_part 3,leaves,Col-0,sid2,--,PRJEB12204,18101330,0.8692,
ERX1268134,Sample 11_part 1,leaves,Col-0,sid2,--,PRJEB12204,19990776,0.8931,
ERX1268135,Sample 11_part 2,leaves,Col-0,sid2,--,PRJEB12204,20374892,0.8925,
ERX1268136,Sample 11_part 3,leaves,Col-0,sid2,--,PRJEB12204,20418790,0.8911,
ERX1268137,Sample 12_part 1,leaves,Col-0,sid2,--,PRJEB12204,16004428,0.8902,
ERX1268138,Sample 12_part 2,leaves,Col-0,sid2,--,PRJEB12204,16295921,0.8894,
ERX1268139,Sample 12_part 3,leaves,Col-0,sid2,--,PRJEB12204,16324614,0.8881,
ERX1268140,Sample 13,leaves,Col-0,wild type,--,PRJEB12204,3889182,0.7527,
ERX1268141,Sample 14,leaves,Col-0,wild type,--,PRJEB12204,2036818,0.9151,
ERX1268142,Sample 15,leaves,Col-0,wild type,--,PRJEB12204,2204974,0.8963,
ERX1268143,Sample 16,leaves,Col-0,ald1,--,PRJEB12204,2960053,0.9185,
ERX1268144,Sample 17,leaves,Col-0,ald1,--,PRJEB12204,2510082,0.9009,
ERX1268145,Sample 18,leaves,Col-0,ald1,--,PRJEB12204,2817948,0.9064,
ERX1268146,Sample 19,leaves,Col-0,wild type,--,PRJEB12204,4922347,0.9042,
ERX1268147,Sample 1_part 1,leaves,Col-0,wild type,--,PRJEB12204,13175725,0.8856,
ERX1268148,Sample 1_part 2,leaves,Col-0,wild type,--,PRJEB12204,13443426,0.8849,
ERX1268149,Sample 1_part 3,leaves,Col-0,wild type,--,PRJEB12204,13469495,0.8833,
ERX1268150,Sample 20,leaves,Col-0,wild type,--,PRJEB12204,805263,0.9061,
ERX1268151,Sample 21,leaves,Col-0,wild type,--,PRJEB12204,3218017,0.8968,
ERX1268152,Sample 22,leaves,Col-0,ald1,--,PRJEB12204,3169657,0.9168,
ERX1268153,Sample 23,leaves,Col-0,ald1,--,PRJEB12204,2439906,0.8865,
ERX1268154,Sample 24,leaves,Col-0,ald1,--,PRJEB12204,1508729,0.9195,
ERX1268155,Sample 2_part 1,leaves,Col-0,wild type,--,PRJEB12204,13135193,0.8749,
ERX1268156,Sample 2_part 2,leaves,Col-0,wild type,--,PRJEB12204,13382876,0.8741,
ERX1268157,Sample 2_part 3,leaves,Col-0,wild type,--,PRJEB12204,13420454,0.8727,
ERX1268158,Sample 3_part 1,leaves,Col-0,wild type,--,PRJEB12204,19795598,0.8917,
ERX1268159,Sample 3_part 2,leaves,Col-0,wild type,--,PRJEB12204,20150617,0.8908,
ERX1268160,Sample 3_part 3,leaves,Col-0,wild type,--,PRJEB12204,20214085,0.8897,
ERX1268161,Sample 4_part 1,leaves,Col-0,sid2,--,PRJEB12204,14476734,0.8795,
ERX1268162,Sample 4_part 2,leaves,Col-0,sid2,--,PRJEB12204,14769869,0.8791,
ERX1268163,Sample 4_part 3,leaves,Col-0,sid2,--,PRJEB12204,14777914,0.8775,
ERX1268164,Sample 5_part 1,leaves,Col-0,sid2,--,PRJEB12204,21815636,0.882,
ERX1268165,Sample 5_part 2,leaves,Col-0,sid2,--,PRJEB12204,22219358,0.8813,
ERX1268166,Sample 5_part 3,leaves,Col-0,sid2,--,PRJEB12204,22247616,0.8798,
ERX1268167,Sample 6_part 1,leaves,Col-0,sid2,--,PRJEB12204,13789005,0.8895,
ERX1268168,Sample 6_part 2,leaves,Col-0,sid2,--,PRJEB12204,14051337,0.8885,
ERX1268169,Sample 6_part 3,leaves,Col-0,sid2,--,PRJEB12204,14083045,0.8869,
